T,Lon,Lat,Y1,Y2,Y3,X1,X2,X3,X4,X5,X6,X7,X8
2012,174.885971,-40.900557,0.71963478,31.907,176206.66,20.92335704,28.76,37.39894421,2898,0.05490616,16.74110364,1.349804315,86.161
2013,53.847818,23.424076,1.0167302,199.87,400218.53,54.20381498,0.1,4.467755562,419,0.115523939,123.2307378,2.831564296,85.066
2013,55.923255,21.512583,0.53131763,62.809,89936.02,64.92868793,0,0.009693053,0,0.255086416,12.3317609,3.530119078,78.882
2013,47.576927,40.143105,0.51738071,32.354,74164.44,57.05441545,2.52,12.82050351,450,0.014860909,113.9234808,2.085261346,54.145
2013,69.345116,30.375321,0.48352246,145.246,231218.57,20.21693641,48.13,5.185050851,207,0.061484837,266.3677382,3.251219398,35.613
2013,50.637772,25.930414,0.35127096,30.962,32539.47,47.94537566,0,0.737662338,19,0.047453447,1638.536364,6.256775233,88.835
2013,121.774017,12.879721,1.0085126,95.375,283902.73,30.77544663,33.05,23.28999564,350,0.134024548,334.3733675,1.357566375,45.903
2013,43.356892,42.315407,0.54991865,7.486,17189.55,18.512858,32.41,40.61591596,119,0.053320069,65.04195388,3.583027246,56.685
2013,66.923684,48.019573,0.54030188,250.847,236634.55,33.69881564,1.16,1.191964107,2386,0.120844408,6.310164463,3.112240372,57.046
2013,127.510093,40.339852,0.46775528,595.488,1370795.2,34.44782919,1.92,65.24952271,223560,0.200057389,517.6122698,0.086489988,81.779
2013,104.990963,12.565679,0.58524878,5.654,15227.99,24.06765417,64.97,54.0663041,1,0.247776758,84.97441083,1.838141935,21.415
2013,51.183884,25.354826,0.56640468,78.396,198727.64,69.75794746,0.04,0,84,0.05119701,175.3230835,2.419182153,98.785
2013,47.481766,29.31166,0.69091603,88.007,174161.14,73.09873441,0,0.350729517,0,0.070406906,204.6306397,2.438215896,100
2013,35.862285,33.854721,0.56525383,24.382,46880.1,16.34379623,5.92,13.60097752,161,0.054104193,555.1173998,1.904292013,87.79
2013,101.975766,4.210484,1.020401,226.082,323277.16,39.88537365,2.75,58.61388525,2298,0.328149929,91.72061178,3.361628765,72.93
2013,103.846656,46.862496,0.48145383,13.144,12582.12,30.50689238,3.01,9.106135944,135,0.473619628,1.827033182,4.640580761,68.097
2013,90.356331,23.684994,0.44387029,62.337,149990.45,26.30707016,36.96,14.4839579,84,0.068720729,1183.299831,2.044797719,32.762
2013,84.124008,28.394857,0.61030295,6.095,22162.21,13.79833757,86.05,41.59072201,21,0.10171084,191.011894,1.260932867,17.815
2013,45.079162,23.885942,1.0117808,508.499,746647.13,59.86247399,0.01,0.454484135,3124,0.096686269,14.64513395,3.65798031,82.74
2013,71.276093,38.861034,0.60491032,3.051,8448.47,23.11516465,55.12,2.979994284,11,0.231771552,58.13525293,7.318578157,26.589
2013,100.992541,15.870032,0.4526365,249.211,420333.2,36.89858846,23.21,39.27616512,1913,0.169485898,136.1909648,3.113514231,46.193
2013,114.727669,4.535277,0.41866794,7.425,18093.83,70.02517779,0.01,72.10626186,39,0.099126608,78.12182163,2.177396936,75.997
2013,64.585262,41.377491,0.43071367,117.043,73180.04,21.29451964,1.19,7.961375803,308,0.062195211,69.39872278,7.452023803,50.95
2013,103.819836,1.352083,1.0310987,46.255,307576.36,23.44272863,0.56,24.0155587,5489,0.24675622,7636.721358,2.641590856,100
2013,45.038189,40.069099,0.57889029,4.882,11121.47,26.70904814,6.77,11.5889006,175,0.017352832,101.9102564,3.871215766,63.164
2013,43.679291,33.223191,0.65739488,116.056,234637.68,57.69152679,1.46,1.900361184,0,0.106030932,81.73119449,2.020555863,69.595
2013,53.688046,32.427908,0.33946083,593.116,492775.57,42.77886847,0.99,6.564490778,11343,0.080009058,48.17095705,5.373474988,72.295
2013,113.921327,-0.789275,0.35194967,563.771,912524.14,42.63567744,30.63,51.60023414,755,0.074907332,134.8992569,2.005387715,51.955
2013,36.238414,30.585164,0.58900795,24.539,34454.44,25.64065981,3.12,1.09822032,213,0.104614384,86.67283172,2.857912652,89.125
2013,1.659626,28.033886,0.45439531,127.529,209755,43.90409997,0.13,0.814866442,138,0.039038135,15.95498501,2.56001907,69.576
2013,30.802498,26.820553,1.0029972,230.032,288434.11,39.88695979,5.28,0.055560802,766,0.035412878,93.80470139,3.356552039,42.893
2013,40.489673,9.145,0.58610319,10.405,47648.21,10.94455699,92.42,15.5767636,1,0.045839162,86.02407456,1.289005484,18.575
2013,17.873887,-11.202692,1.0185672,20.999,133401.58,53.36285218,47.95,56.54352611,0,0.269387574,20.97297024,0.763999722,62.002
2013,2.315834,9.30769,0.6558116,5.209,12517.85,17.24370929,51.97,30.90768003,0,0.255513846,91.42186946,1.556238491,44.642
2013,24.684866,-22.328474,0.49154402,5.347,14271.75,39.10622989,26.36,28.37824008,20,0.023971132,3.91240626,1.342494018,65.572
